idCliente,nombre,apellido,email,telefono,fechaNac,estado
1,Agustín,Guerra,AgustínGuerra@bolandia.iri,462-185-1730,10-12-1966,0
2,Emilio,Romero,EmilioRomero@bolandia.iri,317-427-6829,14-08-1998,-3241
3,Tomás,Lanaro,TomásLanaro@bolandia.iri,426-646-4494,19-02-1996,8313
4,Gabriel,Hernández,GabrielHernández@bolandia.iri,527-298-4006,02-05-1990,0
5,Martina,Luna,MartinaLuna@bolandia.iri,900-193-5786,03-05-1974,0
6,Ulises,Espinosa,UlisesEspinosa@bolandia.iri,610-253-0113,08-04-1969,0
7,Brenda,Ledesma,BrendaLedesma@bolandia.iri,917-788-0821,14-10-2008,0
8,Rocío,Pacheco,RocíoPacheco@bolandia.iri,491-227-1835,17-12-2007,-3854
9,Antonella,Mendoza,AntonellaMendoza@bolandia.iri,477-746-2030,07-10-2005,0
10,Gonzalo,Espinosa,GonzaloEspinosa@bolandia.iri,216-995-2329,29-12-1993,0
11,Celeste,Ortega,CelesteOrtega@bolandia.iri,414-820-0908,12-08-1992,-2480
12,Ramiro,Delgado,RamiroDelgado@bolandia.iri,845-466-7317,30-04-2001,0
13,Leandro,Rojas,LeandroRojas@bolandia.iri,391-118-7172,04-11-1951,2956
14,Martina,Mendoza,MartinaMendoza@bolandia.iri,112-408-3324,04-02-1969,893
15,Lucas,Sosa,LucasSosa@bolandia.iri,137-971-4963,05-08-1972,0
16,Celeste,Sánchez,CelesteSánchez@bolandia.iri,817-150-5537,19-08-1990,0
17,Renata,Figueroa,RenataFigueroa@bolandia.iri,713-301-0071,11-08-1970,0
18,Facundo,Zamora,FacundoZamora@bolandia.iri,489-219-0375,08-05-2006,12852
19,Celeste,Cabrera,CelesteCabrera@bolandia.iri,929-191-2544,10-09-1995,-11669
20,Rocío,Castro,RocíoCastro@bolandia.iri,919-928-3998,12-04-1966,14599
21,Valentina,Santos,ValentinaSantos@bolandia.iri,267-761-2323,20-10-2002,-14049
22,Mía,Flores,MíaFlores@bolandia.iri,898-797-6542,01-10-2009,-9022
23,Ignacio,Rojas,IgnacioRojas@bolandia.iri,567-135-9652,22-04-1950,13149
24,Emma,Pereyra,EmmaPereyra@bolandia.iri,785-474-1139,17-02-2005,0
25,Florencia,Iglesias,FlorenciaIglesias@bolandia.iri,145-645-2419,11-09-1992,12952
26,Daniela,Cortez,DanielaCortez@bolandia.iri,995-806-6312,27-02-1965,423
27,Nicolás,Rocha,NicolásRocha@bolandia.iri,264-783-7304,11-05-1970,0
28,Daniela,Iriarte,DanielaIriarte@bolandia.iri,711-382-4979,11-04-1984,-2472
29,Sofía,Vega,SofíaVega@bolandia.iri,652-836-7139,06-12-2005,0
30,Antonella,Ocampo,AntonellaOcampo@bolandia.iri,149-700-0148,22-11-1982,0
31,Santiago,Abreu,SantiagoAbreu@bolandia.iri,268-897-8206,30-08-1976,6073
32,Leandro,Aldet,LeandroAldet@bolandia.iri,728-429-4211,22-01-1997,0
33,Florencia,Castro,FlorenciaCastro@bolandia.iri,401-645-2913,30-11-2002,0
34,Mía,Rodríguez,MíaRodríguez@bolandia.iri,164-422-5736,20-10-1996,0
35,Victoria,Cáceres,VictoriaCáceres@bolandia.iri,474-646-2850,05-11-1962,0
36,Nicolás,Guerra,NicolásGuerra@bolandia.iri,874-159-7046,10-12-1956,-70
37,Nicolás,Soto,NicolásSoto@bolandia.iri,822-273-7772,07-11-1967,0
38,Celeste,Rojas,CelesteRojas@bolandia.iri,499-522-0347,31-03-1985,0
39,Celeste,Ferrari,CelesteFerrari@bolandia.iri,341-878-6803,06-10-1976,0
40,Santiago,Zamora,SantiagoZamora@bolandia.iri,466-628-3647,28-10-1961,1292
41,Catalina,Urbano,CatalinaUrbano@bolandia.iri,438-158-8728,06-08-1985,-6454
42,Lucía,Rodríguez,LucíaRodríguez@bolandia.iri,296-821-0118,28-07-2000,0
43,María,Mendoza,MaríaMendoza@bolandia.iri,110-636-6502,16-01-1961,0
44,Martina,Pérez,MartinaPérez@bolandia.iri,964-198-7304,12-12-1985,0
45,Mía,Navarro,MíaNavarro@bolandia.iri,305-517-1235,26-03-1975,-9214
46,Lucía,Zarate,LucíaZarate@bolandia.iri,202-253-9983,16-09-1999,0
47,Santiago,Klein,SantiagoKlein@bolandia.iri,165-233-6368,20-12-1951,0
48,Facundo,Benítez,FacundoBenítez@bolandia.iri,478-438-4173,18-10-2008,5091
49,Brenda,Cabrera,BrendaCabrera@bolandia.iri,520-861-4363,05-07-1971,12326
50,Ramiro,Ferrari,RamiroFerrari@bolandia.iri,468-235-0564,05-06-2010,0
51,Lautaro,Juárez,LautaroJuárez@bolandia.iri,746-333-5444,13-11-1964,0
52,Martina,Uribe,MartinaUribe@bolandia.iri,894-716-5768,18-01-1980,12480
53,Pilar,Núñez,PilarNúñez@bolandia.iri,675-837-6262,02-03-1964,-10545
54,Daniela,Godoy,DanielaGodoy@bolandia.iri,389-733-7041,01-04-1963,0
55,Juana,Guerra,JuanaGuerra@bolandia.iri,132-120-6915,05-05-1955,0
56,Mía,Duarte,MíaDuarte@bolandia.iri,806-941-1692,25-07-1994,0
57,Ulises,Tovar,UlisesTovar@bolandia.iri,504-744-7570,30-05-1995,2769
58,Benjamín,Mendoza,BenjamínMendoza@bolandia.iri,355-891-6711,15-04-1971,0
59,Abril,Ramírez,AbrilRamírez@bolandia.iri,653-747-1908,28-06-1967,0
60,Tomás,Luna,TomásLuna@bolandia.iri,883-463-5342,05-11-1989,0
61,Catalina,Peralta,CatalinaPeralta@bolandia.iri,274-996-2120,06-02-1955,0
62,Nicolás,Acosta,NicolásAcosta@bolandia.iri,112-880-1288,20-12-2009,0
63,María,Zarate,MaríaZarate@bolandia.iri,574-229-1959,07-01-1954,8747
64,Juan,Alvarez,JuanAlvarez@bolandia.iri,208-482-1091,24-07-1974,0
65,Nicolás,Ojeda,NicolásOjeda@bolandia.iri,367-198-8731,29-11-1960,0
66,Lucía,Paz,LucíaPaz@bolandia.iri,505-761-3696,17-03-2009,940
67,María,Peralta,MaríaPeralta@bolandia.iri,196-327-5439,20-02-1978,2832
68,Victoria,Romero,VictoriaRomero@bolandia.iri,573-561-6485,09-11-2001,0
